;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text;sentiment_roberta;score_roberta;sentiment_bert;score_bert
0;1518015713256132608;2022-04-23 23:55:24+00:00;KlandelCuervo;False;Metaverso;500;35;57;5;0;[{'text': 'nft', 'indices': [0, 4]}, {'text': 'staratlas', 'indices': [5, 15]}, {'text': 'metaverse', 'indices': [16, 26]}, {'text': 'NFTs', 'indices': [64, 69]}, {'text': 'solsea', 'indices': [70, 77]}, {'text': 'Collection', 'indices': [78, 89]}];[{'screen_name': 'MetaverseOnly', 'name': 'Only In The Metaverse', 'id': 1475845303517564933, 'id_str': '1475845303517564933', 'indices': [27, 41]}, {'screen_name': 'whoiskhal', 'name': 'Star Atlas KHaL', 'id': 1475896887244996608, 'id_str': '1475896887244996608', 'indices': [42, 52]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [53, 63]}];#nft #staratlas #metaverse @MetaverseOnly @whoiskhal @staratlas #NFTs #solsea #Collection space objects meta https://t.co/bo7X1Fwfz3;Neutral;0.9018868207931519;Neutral;0.9085677266120911
1;1518015512470593537;2022-04-23 23:54:36+00:00;MehdiRa99816525;False;;1709;384;5616;0;7;[];[{'screen_name': 'PG_live_PT', 'name': 'PG_LIVE_PT.SOL 🇵🇹', 'id': 3223165148, 'id_str': '3223165148', 'indices': [3, 14]}, {'screen_name': 'at_mwagner', 'name': '◎SW4GN3R◎', 'id': 895337840057360386, 'id_str': '895337840057360386', 'indices': [54, 65]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [66, 76]}, {'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [77, 86]}, {'screen_name': 'pabloiquiroga', 'name': 'ST𝝠RS𝝠P𝝠', 'id': 97590932, 'id_str': '97590932', 'indices': [87, 101]}, {'screen_name': 'Santiacc_', 'name': 'santi.sol', 'id': 1387280955241598977, 'id_str': '1387280955241598977', 'indices': [102, 112]}];"Happy Birthday Discovery of Iris!!!🎂

@at_mwagner @staratlas @Ashes_LS @pabloiquiroga @Santiacc_ 

https://t.co/jBUXaR3fmV";Positive;0.9627108573913574;Positive;0.986430287361145
2;1518014828715126784;2022-04-23 23:51:53+00:00;isaacobot_1;False;Uyo, Nigeria;318;5155;5047;1;0;[{'text': 'cryptocurrency', 'indices': [99, 114]}];[{'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [0, 10]}];"@staratlas Pandagirl - up while everything else is down! 📈

Don't miss the opportunity!

Join us !
#cryptocurrency… https://t.co/labSx3mOXy";Positive;0.877716064453125;Positive;0.9865027666091919
3;1518014583113457667;2022-04-23 23:50:54+00:00;at_mwagner;False;Metaverse;780;31816;6054;0;7;[];[{'screen_name': 'PG_live_PT', 'name': 'PG_LIVE_PT.SOL 🇵🇹', 'id': 3223165148, 'id_str': '3223165148', 'indices': [3, 14]}, {'screen_name': 'at_mwagner', 'name': '◎SW4GN3R◎', 'id': 895337840057360386, 'id_str': '895337840057360386', 'indices': [54, 65]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [66, 76]}, {'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [77, 86]}, {'screen_name': 'pabloiquiroga', 'name': 'ST𝝠RS𝝠P𝝠', 'id': 97590932, 'id_str': '97590932', 'indices': [87, 101]}, {'screen_name': 'Santiacc_', 'name': 'santi.sol', 'id': 1387280955241598977, 'id_str': '1387280955241598977', 'indices': [102, 112]}];"Happy Birthday Discovery of Iris!!!🎂

@at_mwagner @staratlas @Ashes_LS @pabloiquiroga @Santiacc_ 

https://t.co/jBUXaR3fmV";Positive;0.9627108573913574;Positive;0.986430287361145
4;1518012818137747456;2022-04-23 23:43:53+00:00;texanmarie77;False;Texas;262;123;335;0;4;[];[{'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [3, 12]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [74, 84]}, {'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [127, 136]}];"This is EPIC!! I always love seeing how people react to the @staratlas Trailer!!!

I’m on the same boat with you… https://t.co/mX1WPJWHCS";Positive;0.987556517124176;Positive;0.9886744618415833
5;1518012694225469441;2022-04-23 23:43:24+00:00;brycent_;True;Metaverse ✨;1568;178688;52695;3;0;[];[{'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [0, 10]}];@staratlas Hey cutie 😍;Positive;0.9589869379997253;Positive;0.9674707651138306
6;1518012569130352640;2022-04-23 23:42:54+00:00;Plan_ABC_XYZ;False;;1615;448;32847;0;18;[];[{'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [3, 12]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [56, 66]}];"It's Space SZN! Here's my reaction to the @staratlas Cinematic Trailer: 👀

🚀 What to expect?
🧐 Wen Star Atlas Movie… https://t.co/2UdJqEqbGQ";Positive;0.6928303837776184;Neutral;0.9382541179656982
7;1518012492189995008;2022-04-23 23:42:36+00:00;Plan_ABC_XYZ;False;;1615;448;32847;0;6;[];[{'screen_name': 'BULK_Guild', 'name': 'BULK | Star Atlas Guild', 'id': 1438215434587852805, 'id_str': '1438215434587852805', 'indices': [3, 14]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [20, 30]}];The @staratlas metaverse is a circular economy of creation and destruction. In this cosmic churning, all voices are… https://t.co/K7o7ZnBBUe;Negative;0.788995623588562;Neutral;0.8825850486755371
8;1518010274896556032;2022-04-23 23:33:47+00:00;TuanTranlee;False;;8;3;88;0;18;[];[{'screen_name': 'brycent_', 'name': 'brycent 🚀', 'id': 2697947171, 'id_str': '2697947171', 'indices': [3, 12]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [56, 66]}];"It's Space SZN! Here's my reaction to the @staratlas Cinematic Trailer: 👀

🚀 What to expect?
🧐 Wen Star Atlas Movie… https://t.co/2UdJqEqbGQ";Positive;0.6928303837776184;Neutral;0.9382541179656982
9;1518010106415398912;2022-04-23 23:33:07+00:00;pabloiquiroga;False;Star Atlas;465;14748;4069;0;7;[];[{'screen_name': 'PG_live_PT', 'name': 'PG_LIVE_PT.SOL 🇵🇹', 'id': 3223165148, 'id_str': '3223165148', 'indices': [3, 14]}, {'screen_name': 'at_mwagner', 'name': '◎SW4GN3R◎', 'id': 895337840057360386, 'id_str': '895337840057360386', 'indices': [54, 65]}, {'screen_name': 'staratlas', 'name': 'Star Atlas', 'id': 1318241077191639048, 'id_str': '1318241077191639048', 'indices': [66, 76]}, {'screen_name': 'Ashes_LS', 'name': 'Ashes.sol ✨', 'id': 1284581722273615872, 'id_str': '1284581722273615872', 'indices': [77, 86]}, {'screen_name': 'pabloiquiroga', 'name': 'ST𝝠RS𝝠P𝝠', 'id': 97590932, 'id_str': '97590932', 'indices': [87, 101]}, {'screen_name': 'Santiacc_', 'name': 'santi.sol', 'id': 1387280955241598977, 'id_str': '1387280955241598977', 'indices': [102, 112]}];"Happy Birthday Discovery of Iris!!!🎂

@at_mwagner @staratlas @Ashes_LS @pabloiquiroga @Santiacc_ 

https://t.co/jBUXaR3fmV";Positive;0.9627108573913574;Positive;0.986430287361145
